"Auth Object","Auth Object Description"
"F_DVER_BUK","Loans: Waiver Debit Postion - Authorization for CoCd/Pr.Type"
"F_DZNB_BEA","Loans: Processing Key for Payment Postprocessing"
"F_DZNB_SEL","Loans: Selection Authorization for Payment Postprocessing"
"F_EMAC_FDG","BCA Employee Accounts: Field Groups on Account"
"F_EMAC_MTH","BCA Employee Accounts: Allowed Methods"
"F_EMAC_TRN","BCA: Employee Accounts: Transaction Types"
"F_FAGL_LDR","General Ledger: Authorization for Ledger"
"F_FAGL_SEG","General Ledger: Authorization for Segment"
"F_FAGL_SKF","FI: Processing of Statistical Key Figures"
"F_FAST_CLS","Fast Close Authorizations"
"F_FBCJ","Cash Journal: General Authorization"
"F_FCRD_CRD","Payment Cards: Card Master Record"
"F_FCRD_DAT","Payment Cards: Data File"
"F_FCRD_VOU","Payment Cards: Card Document"
"F_FDES_BUK","Cash Management and Forecast: Company Code Memo Records"
"F_FDES_GSB","Cash Management and Forecast: Business Area Memo Records"
"F_FDSB_BUK","Cash Position: Company Code Summary Records"
"F_FDSB_GSB","Cash Position: Business Area Summary Records"
"F_FDSR_BUK","Liquidity Forecast: Company Code Summary Records"
"F_FDSR_GSB","Liquidity Forecast: Business Area Summary Records"
"F_FEBB_BUK","Company Code Bank Statement"
"F_FEBC_BUK","Company Code Check Deposit/Lockbox"
"F_FICA_CCT","Funds Management, Cross-Funds Center"
"F_FICA_CIG","Funds Management: Commitment Item Groups"
"F_FICA_CTR","Funds Management Funds Center"
"F_FICA_CVE","Funds Management: Cover Eligibility"
"F_FICA_CVP","Funds Management: Cover Pool"
"F_FICA_EAL","Funds Management: Collective Expenditure"
"F_FICA_FAG","Funds Management: Function Groups"
"F_FICA_FCD","Funds Management Fund"
"F_FICA_FCG","Funds Management: Funds Center Groups"
"F_FICA_FMC","FM - CO Account Assignment: Controlling Area"
"F_FICA_FNG","Funds Management: Fund Groups"
"F_FICA_FOG","Funds Management: Authorization Group of Fund"
"F_FICA_FPG","Funds Management: Authorization Group for Commitment Item"
"F_FICA_FSG","Funds Management: Authorization Group for Funds Center"
"F_FICA_FTR","Funds Management FM Account Assignment"
"F_FICA_KDR","Funds Management: Account Assignment Derivation"
"F_FICA_KDS","Maintain Strategy of FM Account Assignment Derivation"
"F_FICA_POP","Funds Management: authorization group posting period"
"F_FICA_PPL","Funds Management: Chart of Commitment Items"
"F_FICA_SEG","Funds Management: Authorization Group for All Funds Centers"
"F_FICA_SIG","Funds Management: Authorization Group Internal Funds Centers"
"F_FICA_TRG","Funds Management: Authorization Groups of FM Acct Assignment"
"F_FICA_WCT","Funds Management Within One Funds Center"
"F_FICB_FKR","Cash Budget Management/Funds Management FM Area"
"F_FICB_FPS","Cash Budget Management/Funds Management Commitment Item"
"F_FICB_VER","Cash Budget Management/Funds Management Version"
"F_FICO_AIN","FICO Individual Condition BAPIs"
"F_FICO_AST","FICO Standard Condition BAPIs"
"F_FICO_ATT","FICO Financial Conditions: Authorization Types"
"F_FICO_FDG","FICO Financial Conditions: Field Groups"
"F_FICO_IND","FICO Individual Conditions"
"F_FICO_STD","FICO Standard Conditions"
"F_FIGM_BUD","Grants Management: Authority for Budget"
"F_FIGM_CLS","Grants Management: Authority for Class"
"F_FIGM_GNG","GM: Grant Groups"
"F_FIGM_GNT","Grants Management: Authority for Grant"
"F_FIGM_PRG","Grants Management: Authority for Programs"
"F_FIGM_SCG","GM: Sponsored Class Groups"
"F_FIGM_SPG","GM: Sponsored Program Groups"
"F_FKKCJ","FI-CA Authorization Object for Cash Journal"
"F_FMBU_ACC","Budgeting: Account Assignment"
"F_FMBU_DOC","Budgeting: Document Type"
"F_FMBU_KEY","Budgeting: Keyfigure"
"F_FMBU_KYF","Budgeting: Keyfigure"
"F_FMBU_STA","Budgeting: Status"
"F_FMBU_VER","Budgeting: Version and Budget Category"
"F_FMCA_IPM","PSCD Installment Plan: Authorization for Mass Approval"
"F_FMCA_SHE","Clarification Worklist (FMSHERLOCK)"
"F_FMCA_WOF","IS-PS-CA: Write Off: Approval for Write-Off Reason"
"F_FMCA_WOM","PSCD Write-Off: Authorization for Mass Approval"
"F_FMFG_DUN","FM-FG: CCR Vendor Master"
"F_FMMD_FAR","Funds Management: Functional Area (Authorization Group)"
"F_FMMD_FPG","FM: Funded Porgram Sets"
"F_FMMD_MES","Funds Management: Funded Program (Authorization Group)"
"F_FMME_ATT","Funded Program authorizations"
"F_FMRE_BLK","Funds locking, company code"
"F_FMRE_COM","Funds commitment, company code"
"F_FMRE_FOR","Forecast of revenue, company code"
"F_FMRE_PRE","Funds precommitment, company code"
"F_FMRE_RES","Funds reservation, company code"
"F_FMRE_TRA","Funds transfer, company code"
"F_FMSHER","Clarification Worklist - FMSherlock"
"F_FMSPLITG","Authorization for Rule-Based Distrib'n to Multiple Acct Assn"
"F_FMWF_RSN","Reasons for Release and Rejection, FM Workflow"
"F_FM_DRRUL","Funds Management: Rules of Account Assignment Derivation"
"F_FM_DRSTR","Funds Management: Account Assignment Derivation Strategy"
"F_FM_OPEN","FM: Authorization for Specially Opened Processes"
"F_FOPCMAIN","MIC: Main Authorization"
"F_FUNDSRES","Earmarked Funds, Funds Transfer"
"F_GLLO_ACG","GL Loss on Receivables: Authorization Group Account"
"F_GLLO_BKA","BCA General Ledger - Loss on Receivables: Bank Area"
"F_GLRE_BKA","BCA General Ledger Reconciliation: Bank Area"
"F_GLVA_ACG","BCA GL Individual Value Adjustment: Authorization Group Acct"
"F_GLVA_BKA","BCA General Ledger - Individual Value Adjustment: Bank Area"
"F_GLVA_BPG","BCA GL Individual Value Adjustment: Authorization Group BP"
"F_GLVA_PRG","BCA GL Individ. Value Adjustment:Authorization Group Product"
"F_GMBU_ACC","GM Budgeting: Account Assignment"
"F_GMGT_ATT","Grants Management: Authorization Types"
"F_GMGT_FDG","Grants Management: Field Groups"
"F_GMGT_GRP","Grants Management: Authorization Groups"
"F_GMGT_RLT","Grants Management: BP Roles"
"F_HMAC","hmac_key"
"F_HOLD_ACT","BCA Holds: Activity"
"F_INFO_BUK","Central: Information System - CoCd, Trans. Type, Auth. Group"
"F_INVPGRIR","Authorization for Performing GR/IR Clearing"
"F_INVRPGIR","Authorization for GR/IR Journal (Inventory Info System)"
"F_INVRPMAT","Authorization for Material Journal (Inventory Info System)"
"F_INVRPWIP","Authorization for WIP Journal (Inventory Info System)"
"F_ISSR_1","Transaction Authorization Check"
"F_ISSR_BV","Position Management"
"F_IT_ALV","Line Item Display: Change and Save Layout"
"F_KBE__RES","Funds reservation, company code"
"F_KBE__TRA","Payment Transfer Company Code"
"F_KKCASH","FI-CA Authorization Object for Payment at Cash Desk"
"F_KKCC","Obsolete !!! FI-CA Correspondence Generation"
"F_KKCMK","FI-CA - Manual Checks Lot"
"F_KKCO","Obsolete !!! FI-CA Correspondence in Contract A/R and A/P"
"F_KKCODU","Correspondence Dunning in Contract Accounting"
"F_KKCR","FI-CA Display Creditworthiness of a BP and Change Manually"
"F_KKCR_BUK","FI-CA Authorization for Check Management / DFKKCR"
"F_KKDEVREV","FI-CA Deferred Revenue Postings Transfer Posting Run"
"F_KKDU","FI-CA Dunning in Contract Accounts Receivable & Payable"
"F_KKDUTL","FI-CA Dunning: Telephone List"
"F_KKDU_BUK","FI-CA Dunning in Contract Accts Rec. & Payable: CoCode Auth."
"F_KKINDPAY","FI-CA Payment Specification"
"F_KKINK","FI-CA Authorization Object for Collection Agency"
"F_KKINSTPL","FI-CA Auth. for Installment Plans in a Contract Account"
"F_KKINTER","Authorization for Interest Posting"
"F_KKIP","FI-CA Payment Specification"
"F_KKKO_AEN","FI-CA Document in Contract A/R + A/P: Changeable Fields"
"F_KKKO_BEG","FI-CA Doc.in Contract Accts Rec. & Pay.: Acct Authorization"
"F_KKKO_BUK","FI-CA Doc.in Contract Accts Rec.& Pay.: CoCode Authorization"
"F_KKKO_GSB","FI-CA Doc.in Contract Accts Rec. & Pay.: Business Area Auth."
"F_KKMA","FI-CA Mass Activities in Contract Accts Receivable & Payable"
"F_KKMDU","Master Data Lot in Contract Accounts Receivable and Payable"
"F_KKMIGRAT","FI-CA IS Migration Workbench"
"F_KKNR","FI-CA NOC Returns Lot in Conract Accts Rec. and Payable"
"F_KKPY","FI-CA Automatic Payment Transactions in Contract A/R & A/P"
"F_KKRD_MAS","FI-CA Document Reversal - Mass Processing"
"F_KKRK","FI-CA Returns Lot in Contract A/R + A/P"
"F_KKRV","FI-CA Transfer Posting Run Receivable Evaluation"
"F_KKSU","FI-CA Reconciliation Key and Posting Totals"
"F_KKVARI","FI-CA Maintain Variants for Parallel Processing"
"F_KKVK_BEG","FI-CA Contract Account: Authorization Group"
"F_KKVK_BUK","FI-CA Contract Account: Company Code Authorization"
"F_KKVK_FDG","Contract Account: Authorization for Individual Field Groups"
"F_KKVK_VKT","FI-CA Contract Acct: Contract Acct Type Authorization"
"F_KKWOFF","FI-CA Write-Off Open Documents of a Business Partner"
"F_KKWOFFM","FI-CA Authorization for Mass Clearing of Open Documents"
"F_KKZK","FI-CA Payment Lot in Contract A/R & A/P"
"F_KKZWF","FI-CA Authorization for Receivables Evaluation"
"F_KK_AVIS","FI-CA Payment Advice Note in Contract A/R + A/P"
"F_KK_CJROL","Cash Journal: Maintenance of Responsibilities"
"F_KK_EBPP","FI-CA Special Functions for FSCM Biller Direct"
"F_KK_FCODE","FI-CA authorizations for GUI functions with master data"
"F_KK_KUKON","Authorization Check for Short Account Assignment"
"F_KK_LOCK","FI-CA Processing Locks"
"F_KK_ODBUK","FI-CA Request: Company Code Authorization"
"F_KK_ODCLA","FI-CA Request: Mass Approval of Requests"
"F_KK_ODCLS","FI-CA Request: Authorization for Request Class"
"F_KK_ODTYP","FI-CA Request: Authorization for Request Category"
"F_KK_REPT","FI-CA Receipt Management"
"F_KK_SEC","FI-CA Security Deposit"
"F_KK_SOND","FI-CA Special Functions"
"F_KMT_MGMT","Account Assignment Model: Auth. for Maintenance and Use"
"F_KNA1_AEN","Customer: Change Authorization for Certain Fields"
"F_KNA1_APP","Customer: Application Authorization"
"F_KNA1_BED","Customer: Account Authorization"
"F_KNA1_BUK","Customer: Authorization for Company Codes"
"F_KNA1_GEN","Customer: Central Data"
"F_KNA1_GRP","Customer: Account Group Authorization"
"F_KNA1_KGD","Customer: Change Authorization for Account Groups"
"F_KNB1_ANA","Customer: Authorization for Account Analysis"
"F_KNKA_AEN","Credit Management: Change Authorization for Certain Fields"
"F_KNKA_KKB","Credit Management: Authorization for Credit Control Area"
"F_KNKA_MAN","Credit Management: General Maintenance Authorization"
"F_KNKK_BED","Credit Management: Account Authorization"
"F_LC_AUS","Consolidation: Authorization for reports"
"F_LC_COM","Consolidation: Authorization for companies"
"F_LC_ERH","Consolidation: Authorization for data entry forms"
"F_LC_LDNR","Consolidation: Authorization for ledgers"
"F_LC_SUBD","Consolidation: Authorization for subgroup"
"F_LC_URUN","Consolidation: Authorization for update"
"F_LC_VERS","Consolidation: Authorization for versions"
"F_LFA1_AEN","Vendor: Change Authorization for Certain Fields"
"F_LFA1_APP","Vendor: Application Authorization"
"F_LFA1_BEK","Vendor: Account Authorization"
"F_LFA1_BUK","Vendor: Authorization for Company Codes"
"F_LFA1_GEN","Vendor: Central Data"
"F_LFA1_GRP","Vendor: Account Group Authorization"
"F_L_ACCRUL","Leasing Accounting Authorization Object"
"F_MAHN_BUK","Automatic Dunning: Authorization for Company Codes"
"F_MAHN_KOA","Automatic Dunning: Authorization for Account Types"
"F_MANDATE","Authorization to Process a SEPA Mandate in FI"
"F_MET_BEG","Loans: Authorization Group for Condition Table"
"F_MIE_SKO","Real Estate: Rental agreement - Authorization for conditions"
"F_MNG_CON","Real Estate: Management Contract - Authorization for CoCd"
"F_NFBA","Authority Check for Nota Fiscal Writer Brazil"
"F_NTC_ACT","BCA Notice: Activities for each Bank Area"
"F_NTC_AMT","F_NTC_AMT"
"F_NTC_GRP","Notice: Authorization for each Group"
"F_NTC_PER","F_NTC_PER"
"F_PAIT_ACG","BCA Payment Item: Authorization Group According to Account"
"F_PAIT_ACT","BCA Payment Item: Activity"
"F_PAIT_ATT","BCA Payment Item: Authorization Types"
"F_PAIT_BDA","BCA Payment item: Backdated payment items."
"F_PAIT_BKA","BCA Payment Item: Bank Area"
"F_PAIT_BPG","BCA Payment Item: Authorization Group According to BP"
"F_PAIT_GRP","BCA Payment Item: Authorization Group"
"F_PAIT_PRG","BCA Payment Item: Authorization Group According to Product"
"F_PAOR_ACG","BCA Payment Order: Authorization Group According to Account"
"F_PAOR_ACT","BCA Payment Order: Activity"
"F_PAOR_ATT","BCA Payment Order: Authorization Types"
"F_PAOR_BKA","BCA Payment Order: Bank Area"
"F_PAOR_BPG","BCA Payment Order: Authorization Group According to BP"
"F_PAOR_GRP","BCA Payment Order: Authorization Group"
"F_PAOR_PRG","BCA Payment Order: Authorization Group According to Product"
"F_PAYM_ACT","Additional activity checks for payment items/orders"
"F_PAYOH_AV","Release and Rejection Reasons"
"F_PAYRQ","Authorization Object for Payment Requests"
"F_PAYR_BUK","Check Management: Action Authorization for Company Codes"
"F_PERI_ACT","BCA Periodic Tasks: Activity (Simulation Update Run)"
"F_PMT_TRNS","Real Estate: Payment Transaction - Author. CoCd/Activity"
"F_POD_BEG","Loans: Authorization Group for Files"
"F_POH_BEG","Loans: Authorization Group for Main Files"
"F_PROD_GRP","BCA/FIPR Product: Authorization Group"
"F_PSDO_BEG","PSCD Document: Authorization Group for Contract Object"
"F_PSDO_VGT","PSCD Beleg: Contract Object Type Authorization"
"F_PSFA_CAT","PSCD Facts. Fact Type Parts"
"F_PSFA_SET","PSCD Facts: Authorization for a Fact Set."
"F_PSFA_TYP","PSCD Facts. Fact Set Parts"
"F_PSMEC_CR","Expenditure Certification: Certification Run"
"F_PSMEC_FS","Expenditure Certification: Financing Source"
"F_PSMEC_OP","Expenditure Certification: Certifying Operation"
"F_PSM_DRUL","Rules for Account Assignment Derivation"
"F_PSM_DSTR","Strategy for Account Assignment Derivation"
"F_PSOB_ATT","PSCD Contract Object: Authorization Types"
"F_PSOB_BEG","PSCD Contract Object: Authorization Group"
"F_PSOB_FDG","PSCD Contract Object: Field Groups"
"F_PSOB_VGT","PSCD Contract Object: Object Type Authorization"
"F_REAJ_AT","Real Estate: Adjustment Measure"
"F_REAJ_CG","Real Estate: Comparative Group"
"F_REAJ_PR","Real Estate: Adjustment of Conditions"
"F_REBD_AO","Real Estate: Architectural Object"
"F_RECD_CN","Real Estate: Conditions - Contract"
"F_RECD_RO","Real Estate: Conditions - Rental Object"
"F_RECN","Real Estate: Real Estate General Contract"
"F_RECN_ATT","Real Estate: Authorization Types for General Contract"
"F_RECN_FDG","Real Estate: Field Groups for General Contract"
"F_RECN_SKO","Real Estate: Conditions for Real Estate General Contracts"
"F_REC_TAX","Authorization Check for Tax Auditor"
"F_REGU_BUK","Automatic Payment: Activity Authorization for Company Codes"
"F_REGU_KOA","Automatic Payment: Activity Authorization for Account Types"
"F_REIT_DS","Real Estate: Input Tax Distribution"
"F_REIT_OR","Real Estate: Option Rate Determination"
"F_REIT_TC","Real Estate: Correction Object"
"F_RELM_JL","Real Estate: Joint Liability"
"F_RELM_LR","Real Estate: Land Register"
"F_RELM_NA","Real Estate: Notice of Assessment"
"F_RELM_PE1","Real Estate: Public Register: Contamination/Non-Hazard.Waste"
"F_RELM_PE2","Real Estate: Public Register: Site Protection"
"F_RELM_PE3","Real Estate: Public Register: Development Plan"
"F_RELM_PE4","Real Estate: Public Register: Easement Register"
"F_RELM_PL","Real Estate: Parcel of Land"
"F_RELM_RC","Real Estate: Parcel Update"
"F_REMM_MN","Real Estate: Mandate"
"F_REOR_MP","Real Estate: Move Planning"
"F_REOR_OF","Real Estate: Contract Offer"
"F_REOR_OO","Real Estate: Offered Object"
"F_REOR_RR","Real Estate: RE Search Request"
"F_REOR_RS","Real Estate: Reservation"
"F_REOR_SRV","Real Estate: Services"
"F_RERA_OP","Real Estate: One-Time Postings"
"F_RESC_PG","Real Estate: Participation Group"
"F_REXC_MS","Real Estate: Main Rent Statement"
"F_RE_BRGRP","Real Estate: Authorization Group"
"F_RE_REPOR","Real Estate: Reporting - Author.for CoCd/Auth.Grp/Data Type"
"F_RE_TRANS","Real Estate: General Transaction Authorization"
"F_RNT_ADJ","Real Estate: Rent Adjustment - Authorization for CoCd/Method"
"F_RNT_OFF","Real Estate: Offer - Authorization for CoCd/Bus.Entity"
"F_RPCODE","Repetitive Code"
"F_RPROC","Intercompany Reconciliation: Authorizations"
"F_RPUS_ATT","Retirement plan: Authorization types"
"F_RPUS_FDG","Retirement plan: Field groups"
"F_RQRSVIEW","Bank Ledger: Viewer for Request Response Messages"
"F_RTP_ACT","Retirement plan: Activity"
"F_RTP_AGP","Retirement plan: Authorization group"
"F_RTP_BKA","Retirement plan: Bank area"
"F_RTP_BPA","Retirement plan: Authorization accountholder"
"F_RTP_BPG","Retirement plan: Authorization accountholder (obsolete)"
"F_RTP_GRP","Retirement plan: Authorization group (obsolete)"
"F_SEPA_MDT","Authorization for Processing a Global SEPA Lock"
"F_SKA1_AEN","G/L Account: Change Authorization for Certain Fields"
"F_SKA1_BES","G/L Account: Account Authorization"
"F_SKA1_BUK","G/L Account: Authorization for Company Codes"
"F_SKA1_KTP","G/L Account: Authorization for Charts of Accounts"
"F_STAT_MON","Bank Relationship: Status Monitor authorizations"
"F_STOR_ACG","BCA Standing Order: Authorization Group According to Account"
"F_STOR_ACT","BCA Standing Order: Activity"
"F_STOR_ATT","BCA Standing Order: Authorization Types"
"F_STOR_BKA","BCA Standing Order: Bank Area"
"F_STOR_BPG","BCA Standing Order: Authorization Group According to BP"
"F_STOR_FDG","BCA Standing Order: Field Groups"
"F_STOR_GRP","BCA Standing Order: Authorization Group"
"F_STOR_PRG","BCA Standing Order: Authorization Group According to Product"
"F_STO_TRAN","Loans: Authorization for Reversal Transaction"
"F_T011","Financial Statements: General Maintenance Authorization"
"F_T011E","Authorization for Financial Calendar"
"F_T011_BUK","Planning: Authorization for Company Codes"
"F_T042_BUK","Payment Program Customizing: Authorization for Company Codes"
"F_T060_ACT","Info System: Account Type/Activity for Evaluation View"
"F_TD_CORR","controls the  correction of  an already fixed time deposit."
"F_TRAVL","Travel Planning"
"F_TRAVL_RW","Travel Expenses: Posting Run Management"
"F_TRAVL_S","Travel Planning Status Travel Agency"
"F_TRAVL_TG","Separation Allowance"
"F_TRAVL_TP","Maintain Separation Allowance Periods"
"F_TR_MRM_S","Scenario Maintenance"
"F_TXW_RA","DART: Retrieve data from archive"
"F_TXW_TF","DART: Data extracts"
"F_TXW_TFCF","DART: Data extract configuration"
"F_TXW_TV","DART: Data view queries"
"F_TXW_TVC2","DART: Data view configuration, with AuthGrp"
"F_TXW_TVCF","DART: Data view configuration"
"F_T_FBNAME","Treasury: Authorization for Asynchronous Datafeed"
"F_T_PART_B","Treasury: Business Partners: Authorization Group per Role"
"F_T_PART_R","Treasury: Business Partners: Role Authorization"
"F_T_TRANSB","Treasury: Transaction Authorization"
"F_T_VTBLL","Limit Transfers"
"F_T_VTBLR","Limit Reservations"
"F_T_VTBLV","Limit"
"F_T_VTBMA","Master Agreement"
"F_UDM_ESCA","Dispute Case: Check of Escalation Reasons"
"F_UDM_GRUP","Authorization for Collection Group"
"F_UDM_PRUN","Program with Parallel Processing"
"F_UDM_PUB","Dispute Case: Authorized for Transfer to External Applicatn?"
"F_UDM_SGMT","Authorization for Collection Segment"
"F_UDM_STGY","Authorization for Strategies"
"F_UDM_WLIT","Worklist Items"
"F_UHC_ACT","Collection Case: Actions"
"F_UKM_SGMT","SAP Credit Management Authorization for Credit Segment"
"F_UMV_BUK","Real Estate: Sales-based agreement adj. - CoCd authorization"
"F_VGINT","Change to Posting Rule in FEBAN"
"F_WEB_ADRS","Display/Change of Address Data via Web Interface"
"F_WEB_BANK","Display/Change of Bank Data"
"F_WEB_BCNF","Display/Change of a Balance Confirmation"
"F_WEB_EBPP","Participation in EBPP Process via Web Interface"
"F_WIBE","Real Estate: Cost Efficiency Analysis"
"F_WORKQ001","Authorization Object for Work Queue"
"F_WTMG","Withholding Tax Changeover"
"F_XCIT_ICI","Real Estate: Italian localisation - ICI"
"F_XCIT_IRE","Real Estate: Italian localisation - IRE"
"F_XCPT_IMI","Real Estate: Portugal Localization - IMI"
"F_ZTXT_ACT","Word Processing: Maintenance Authorization"
"G_022_GACT","FI-SL Customizing: Transactions"
"G_800S_GSE","Special Purpose Ledger Sets: Set"
"G_800_GRP","Report Writer: Report"
"G_801H_GCL","Report Writer: Parallel Report"
"G_801K_GLB","Report Writer: Library"
"G_801U_GSY","Report Writer: Standard Layout"
"G_802G_GSV","Special Purpose Ledger Sets: Variable"
"G_803J_GJB","Report Writer: Report Group"
"G_806H_GRJ","FI-SL Rollup"
"G_820_GPL","FI-SL Planning: Planning Parameters"
"G_821S_GSP","FI-SL planning: Distribution keys"
"G_880_GRMP","FI-SL Customizing: Global Companies"
"G_881_GRLD","FI-SL Customizing: Ledger"
"G_888_GFGC","FI-SL Customizing: Field Movements"
"G_ADMI_CUS","Central Administrative FI-SL Tools"
"G_ALLOCTN","Special Purpose Ledger - Assessment/Distribution"
"G_EXTRACT","Report Writer: Extract Management (obsolete, do not use)"
"G_GB90_","Validation/Substitution/Rules: Rules"
"G_GB92_","Validation/Substitution/Rules: Substitution"
"G_GB93_","Validation/Substitution/Rules: Validation"
"G_GLTP","Spec. Purpose Ledger Database (Ledger, Record Type, Version)"
"G_REPO_GLO","FI-SL: Global reporting (global company)"
"G_REPO_LOC","FI-SL: Local Reporting (Company Code)"
"HSMA","EHS: Hazardous Substance Management"
"H_AUTOGEN","Mass generation tool of homebuilding"
"H_BROWSE","Community browser of the homebuilding solution"
"H_FITLIST","Maintenance object for product fit list"
"H_RULES","Rules maintenance of the homebuilding solution"
"IB_IBASE","Authorization Object for Installed Base"
"IHC_ACTION","Authorizations for IHC Activities"
"IHC_CMSTAT","Cash Management Status of In-House Cash"
"IHC_ROUTE","Authorizations in Route Definition"
"INSPRESULT","Checks read, write , change and delete authorizations"
"ISA_AUCT","Authorization Object ISA  R/3 - Auctioning via Webshop/eBay"
"ISA_CAT_PR","Display of catalog prices in Internet Sales ERP"
"ISA_DOC","Internet Sales  ERP Sales Document Authorizations"
"ISA_UADM","Authorization for the ISA ERP User Admin application"
"I_AER","Follow-Up Order Creation"
"I_AGCY_ACT","Agency Collections: Activities"
"I_AGCY_CD","Agency Coll.: Cash Desk (Select,Open,Close,Create,Admin)"
"I_AGCY_CON","Agency Collections: Container"
"I_AGCY_DDW","Agency Coll.: Cash Desk (Deposits, Differences, Withdrawals)"
"I_AGCY_DIF","Agency Collections: Difference Rules"
"I_AGCY_INT","Agency Collections: Interest Calculation Authorization Obj."
"I_AGCY_MOD","Agency Collections: Mode"
"I_AGCY_PAY","Agency Collections: Payment Methods"
"I_AGCY_PRO","Agency Collections: Transaction Categories"
"I_AGCY_SEL","Agency Collections: Selection Variants"
"I_AGCY_TC","Agency Collections: Temporary Collections"
"I_ALM_ME","Mobile Asset Management"
"I_AUART","PM: Order Type"
"I_BEGRP","PM: Authorization Group"
"I_BETRVORG","PM: Business Operation"
"I_BSTR_LGE","Authorization object for logbook"
"I_CCM_ACT","Configuration Control authorization object"
"I_CCM_EBOM","Authorization for CCM BOM Item Maintenance"
"I_CCM_STRC","Structure gap maintenance authority"
"I_CDRI_SB","FS-CD: Clearing Estimation Postings in Account Maintenance"
"I_CDRI_SE","FS-CD: Clearing Cash Losses in Account Maintenance"
"I_COINS_CT","FS-CD: Identification of Coinsurance Shares"
"I_CONFLICT","WCM: Checks for Lockout/Tagout"
"I_CONFSTOR","PM: Mass Cancellation of Confirmations"
"I_FCODE","WCM: Function Codes (e.g. Operational Cycle)"
"I_GPD_BRK","GPD Maintenance of the Breakpoint Table"
"I_GPD_CPEG","GPD Collective Pegging Authorisation"
"I_GPD_DIST","GPD Collective Distribution Authorisation"
"I_GPD_EX","GPD Maintenance of the Exceptions Table"
"I_GPD_PEG","GPD Manual Pegging Authorisation"
"I_GPD_XP","Authorization for Cross plant pegging & Distribution"
"I_ICLE_CAT","FS-CM: Claim Bundle Category"
"I_ICLF_CHK","FS-CM: Display of Check Lot (for Test System only)"
"I_ICLPOLNR","FS-CM: Permits Change to Policy Number"
"I_ICLPOLSE","FS-CM: Permits Change to Policy Snapshot"
"I_ICLSBOBC","FS-CM: Authorization Object for Claim Subobject"
"I_ICLSC","FS-CM: Authorization Object Benefits/Services/Fees Catalogs"
"I_ICL_ACLM","FS-CM: Claim Authorization Group (VIP)"
"I_ICL_ACT","FS-CM: Task/Log Entry"
"I_ICL_AGRP","FS-CM: Claim Authorization Group (for Payt, Reserve, SubroR)"
"I_ICL_CPOL","FS-CM: Authorization Object for Changing Coverage Policy"
"I_ICL_CTYP","FS-CM: Claim Category"
"I_ICL_LIT","FS-CM: Authorization Object for Litigation"
"I_ICL_NEG","FS-CM: Authorization Object for Negotiation"
"I_ICL_PROC","FS-CM: Authorization Object for Claim Item Groupings"
"I_ICL_RI","FS-CM: Authorization Object for Reinsurance Integration"
"I_ICL_SBRG","FS-CM: Authorization Object for Subrogation/Recovery"
"I_ICL_SCLT","FS-CM: Subclaim Type"
"I_ICL_SUBX","FS-CM: Authorization Group Claim Subobject (Such as Notes)"
"I_ICL_SUP","FS-CM: Calculation and Application of Suppl. Reserves"
"I_IE4N","Authorization Object for IE4N Modes"
"I_ILOA","Change location- and accounting data in the order"
"I_INGRP","PM: Maintenance Planner Group"
"I_INSO_AUT","FS-CD: Insurance Object: Authorization Types"
"I_INSO_FDG","FS-CD: Ins. Obj.: Authorizations for Individ. Field Grps"
"I_INSO_GRP","FS-CD: Insurance Object: Authorization Group"
"I_INS_OBJ","FS-CD: Process Insurance Object"
"I_IWERK","PM: Maintenance Planning Plant"
"I_KOSTL","PM: Cost Centers"
"I_LBK_WC","Authorization object to control activities on work center"
"I_LOGBOOK","Authorization object for Logbook"
"I_MASS","PM: Mass Data Change"
"I_PHIN_APP","Takeover-/Handover application"
"I_PHIN_PO","PHIN: handover profile"
"I_QMEL","PM/QM: Notification Types"
"I_ROUT","PM: Task List"
"I_ROUT1","PM: Task Lists by PM Planning Plant, Work Scheduler, Status"
"I_SOGEN","PM: Permit"
"I_SWERK","PM: Maintenance Plant"
"I_TCODE","PM: Transaction Code"
"I_VAL","WCM: Valuation of Applications"
"I_VORG_MEL","PM/QM: Business Operation for Notifications"
"I_VORG_MP","PM: Business Operation for Maintenance Planning"
"I_VORG_ORD","PM: Business Operation for Orders"
"I_VVAH","FS-CD: Display Invoicing History"
"I_VVBR_MST","FS-CD: Broker Collections - Dunning Status"
"I_VVBR_STM","FS-CD: Broker Collections - Broker Report Editing"
"I_VVFA","IS-IS-CD: Display Billing Data"
"I_VVFB_STA","FS-CD: Data Transfer Doc - Query and Status Change (RFC)"
"I_VVFB_UEB","FS-CD: Invoice Interface - Invoice Transfer"
"I_VVKK_BLA","IS-IS/CD: Documents in Contract A/R+A/P - Doc type auth."
"I_VVMH_VTR","FS-CD: Auth. Object for Contract-Rel. Dunning History"
"I_VVRB_BUK","FS-CD: Legal Relationship in Account"
"I_VVRFC","FS-CD: RFC Functions"
"I_VVSO_BEG","FS-CD: Debit Entry - Office Authorization"
"I_VVSO_BUK","FS-CD: Debit Entry - Company Code Authorization"
"I_VVSO_GSB","FS-CD: Debit Entry - Business Area Authorization"
"I_VVSO_PRG","FS-CD: Debit Entry - Product Group Authorization"
"I_VVVK_ANL","FS-CD: Create and Change Contract Accts"
"I_VVVK_INF","FS-CD: Contract Account Information"
"I_VV_AAS","FS-CD: Clearing for Oldest Debt"
"I_VV_IC","Authorization Info Container"
